Start_date,End_Date,Crime,Current,Prior,Ratio,28Day_Current,28Day_Prior,28Day_Ratio,YTD_Current,YTD_Prior,YTD_Ratio,2YR(2019),11YR(2010),28YR(1993),Volume_Number,Number_number,Mayor,Commissioner,Precinct
  12/28/2020,  1/3/2021,G.L.A.,2,1,100,8,1,700,0,0,***.*,***.*,***.*,-100,28,53,Bill de Blasio,Dermot Shea,122nd Precinct
  12/28/2020,  1/3/2021,TOTAL,10,8,25,46,35,31.43,4,3,33.33,33.33,-20,-85.71,28,53,Bill de Blasio,Dermot Shea,122nd Precinct
  12/28/2020,  1/3/2021,Transit,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,122nd Precinct
  12/28/2020,  1/3/2021,Housing,0,0,***.*,2,0,***.*,0,0,***.*,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,122nd Precinct
  12/28/2020,  1/3/2021,Petit Larceny,7,11,-36.4,38,42,-9.5,3,3,0,-70,-70,***.*,28,53,Bill de Blasio,Dermot Shea,122nd Precinct
  12/28/2020,  1/3/2021,Misd. Assault,1,4,-75,12,21,-42.9,1,4,-75,0,-50,***.*,28,53,Bill de Blasio,Dermot Shea,122nd Precinct
  12/28/2020,  1/3/2021,Misd. Sex Crimes,0,0,***.*,1,1,0,0,0,***.*,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,122nd Precinct
  12/28/2020,  1/3/2021,Shooting Vic.,0,0,***.*,4,0,***.*,0,0,***.*,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,122nd Precinct
  12/28/2020,  1/3/2021,Shooting Inc.,0,0,***.*,0,1,-100,0,0,***.*,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,122nd Precinct
  12/28/2020,  1/3/2021,Murder,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,121th Precinct
  12/28/2020,  1/3/2021,Rape,0,0,***.*,0,0,***.*,0,0,***.*,-100,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,121th Precinct
  12/28/2020,  1/3/2021,Robbery,0,0,***.*,3,5,-40,0,0,***.*,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,121th Precinct
  12/28/2020,  1/3/2021,Fel. Assault,3,2,50,14,10,40,1,0,***.*,0,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,121th Precinct
  12/28/2020,  1/3/2021,Burglary,5,2,150,16,8,100,1,1,0,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,121th Precinct
