Ratio,28Day_Current,28Day_Prior,28Day_Ratio,YTD_Current,YTD_Prior,YTD_Ratio,2YR(2019),11YR(2010),28YR(1993),Volume_Number,Number_number,Mayor,Commissioner,Precinct
-50,28,40,-30,2,4,-50,-60,0,-77.8,28,53,Bill de Blasio,Dermot Shea,46th Precinct
-26.7,33,47,-29.8,2,4,-50,-66.7,100,-50,28,53,Bill de Blasio,Dermot Shea,46th Precinct
-100,4,2,100,37,42,-11.9,-15.9,12.1,-61.9,28,53,Bill de Blasio,Dermot Shea,44th Precinct
-64.3,32,36,-11.1,403,428,-5.8,4.7,-21,-80.1,28,53,Bill de Blasio,Dermot Shea,44th Precinct
25,51,43,18.6,744,789,-5.7,19.6,34.1,-45.1,28,53,Bill de Blasio,Dermot Shea,44th Precinct
600,15,7,114.3,250,172,45.3,16.3,-9.4,-88.2,28,53,Bill de Blasio,Dermot Shea,44th Precinct
0,48,59,-18.6,666,724,-8,-0.3,69,-16,28,53,Bill de Blasio,Dermot Shea,44th Precinct
-66.7,22,8,175,179,108,65.7,47.9,-10.5,-85.8,28,53,Bill de Blasio,Dermot Shea,44th Precinct
-6.82,173,155,11.61,"2,293","2,271",0.97,10.99,15.69,-70.29,28,53,Bill de Blasio,Dermot Shea,44th Precinct
0,2,1,100,62,32,93.8,26.5,47.6,-65.7,28,53,Bill de Blasio,Dermot Shea,44th Precinct
0,55,49,12.2,6,6,0,-14.3,200,-45.5,28,53,Bill de Blasio,Dermot Shea,43rd Precinct
100,34,13,161.5,3,1,200,200,-25,-76.9,28,53,Bill de Blasio,Dermot Shea,43rd Precinct
-61.5,52,48,8.3,0,8,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,43rd Precinct
-11.9,191,153,24.84,12,19,-36.84,-25,50,-82.86,28,53,Bill de Blasio,Dermot Shea,43rd Precinct
0,36,27,33.3,6,3,100,50,20,-33.3,28,53,Bill de Blasio,Dermot Shea,42nd Precinct
-18.2,33,34,-2.9,3,5,-40,-66.7,-25,-40,28,53,Bill de Blasio,Dermot Shea,42nd Precinct
-2.78,138,130,6.15,16,13,23.08,-23.81,77.78,-36,28,53,Bill de Blasio,Dermot Shea,42nd Precinct
0,14,16,-12.5,0,1,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,41st Precinct
-50,24,14,71.4,1,2,-50,-75,-66.7,-66.7,28,53,Bill de Blasio,Dermot Shea,41st Precinct
-50,79,71,11.27,4,7,-42.86,-33.33,-50,-82.61,28,53,Bill de Blasio,Dermot Shea,41st Precinct
-10,31,29,6.9,5,1,400,-16.7,150,-70.6,28,53,Bill de Blasio,Dermot Shea,40th Precinct
7.1,44,50,-12,4,8,-50,-66.7,33.3,-63.6,28,53,Bill de Blasio,Dermot Shea,40th Precinct
27.3,54,41,31.7,4,4,0,33.3,300,33.3,28,53,Bill de Blasio,Dermot Shea,40th Precinct
0,11,23,-52.2,2,3,-33.3,0,-33.3,-71.4,28,53,Bill de Blasio,Dermot Shea,34th Precinct
0,22,25,-12,3,3,0,0,0,-70,28,53,Bill de Blasio,Dermot Shea,32nd Precinct
-66.7,10,8,25,1,2,-50,-50,-50,-87.5,28,53,Bill de Blasio,Dermot Shea,30th Precinct
50,14,13,7.7,1,1,0,-66.7,0,-50,28,53,Bill de Blasio,Dermot Shea,25th Precinct
-37.5,26,29,-10.3,1,5,-80,0,-50,-66.7,28,53,Bill de Blasio,Dermot Shea,25th Precinct
9.52,78,73,6.85,8,11,-27.27,60,100,-55.56,28,53,Bill de Blasio,Dermot Shea,25th Precinct
-60,15,45,-66.7,1,3,-66.7,-75,0,-85.7,28,53,Bill de Blasio,Dermot Shea,24th Precinct
-45.45,56,90,-37.78,2,8,-75,-75,-50,-90.48,28,53,Bill de Blasio,Dermot Shea,24th Precinct
-66.7,15,13,15.4,0,2,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,23rd Precinct
-28.57,90,84,7.14,5,7,-28.57,-54.55,0,-76.19,28,53,Bill de Blasio,Dermot Shea,23rd Precinct
33.3,13,7,85.7,1,2,-50,0,0,-87.5,28,53,Bill de Blasio,Dermot Shea,Midtown Precinct North
-20,9,11,-18.2,2,3,-33.3,0,0,-50,28,53,Bill de Blasio,Dermot Shea,Midtown Precinct North
25,18,16,12.5,1,1,0,0,-66.7,-95.2,28,53,Bill de Blasio,Dermot Shea,Midtown Precinct South
0,26,22,18.2,2,2,0,-50,100,-60,28,53,Bill de Blasio,Dermot Shea,Midtown Precinct South
-55.3,83,168,-50.6,4,8,-50,-60,-71.4,-94,28,53,Bill de Blasio,Dermot Shea,Midtown Precinct South
-20,16,14,14.3,1,2,-50,-66.7,0,-66.7,28,53,Bill de Blasio,Dermot Shea,13th Precinct
16.7,25,21,19,2,1,100,-50,-33.3,-87.5,28,53,Bill de Blasio,Dermot Shea,13th Precinct
-47.6,52,117,-55.6,4,5,-20,-50,-69.2,-69.2,28,53,Bill de Blasio,Dermot Shea,13th Precinct
-45.5,26,48,-45.8,3,4,-25,-40,-62.5,200,28,53,Bill de Blasio,Dermot Shea,10th Precinct
-12.5,60,70,-14.29,9,4,125,0,-30.77,-25,28,53,Bill de Blasio,Dermot Shea,10th Precinct
-35,46,77,-40.3,3,4,-25,-57.1,-40,-70,28,53,Bill de Blasio,Dermot Shea,9th Precinct
-38.24,82,121,-32.23,5,8,-37.5,-37.5,-37.5,-84.38,28,53,Bill de Blasio,Dermot Shea,9th Precinct
-50,9,13,-30.8,1,1,0,0,0,-50,28,53,Bill de Blasio,Dermot Shea,7th Precinct
-33.3,34,44,-22.7,2,6,-66.7,-50,100,-50,28,53,Bill de Blasio,Dermot Shea,7th Precinct
-5.88,77,78,-1.28,5,8,-37.5,-16.67,25,-66.67,28,53,Bill de Blasio,Dermot Shea,7th Precinct
-50,43,86,-50,3,9,-66.7,-57.1,-62.5,-78.6,28,53,Bill de Blasio,Dermot Shea,6th Precinct
-12.5,99,124,-20.16,7,12,-41.67,-22.22,-12.5,-82.5,28,53,Bill de Blasio,Dermot Shea,6th Precinct
-7.1,32,59,-45.8,3,6,-50,-66.7,0,-70,28,53,Bill de Blasio,Dermot Shea,5th Precinct
6.3,50,86,-41.9,7,7,0,-22.2,250,-65,28,53,Bill de Blasio,Dermot Shea,1st Precinct
45.45,100,112,-10.71,18,8,125,28.57,350,-55,28,53,Bill de Blasio,Dermot Shea,1st Precinct
